Cancer Types ,Articles Studied
Breast Cancer,923
"Breast Cancer, Cancer",396
"Cancer, Hepatocellular Cancer",384
Lung Cancer,283
Colon Cancer,266
Leukemia,246
Melanoma,225
"Colorectal Cancer, Rectal Cancer",188
Cervical Cancer,124
Gastric Cancer,122
