Plant_Name,Articles Studied
Curcuma longa,622
Panax ginseng,299
Nigella sativa,293
Salvia miltiorrhiza,290
Scutellaria baicalensis,234
Viscum album,193
Withania somnifera,178
Andrographis paniculata,170
Camellia sinensis,170
Ginkgo biloba,162
